path,ext,size_kb,mtime_utc,figure_role,training_vs_paper,cjk_in_path,likely_generator_script,likely_source_data,deprecated_hint,recommended_disposition,git_tracked
paper_assets/svg/competition_fig7_dual_channel_characterization.svg,.svg,75.3,2026-05-12T08:16Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
paper_assets/svg/competition_fig8_common_mode_suppression.svg,.svg,43.6,2026-05-12T08:16Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
paper_assets/svg/figures_fig_auth_gap.svg,.svg,71.4,2026-05-05T07:56Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,results/fiber_auth/auth_matrix.json; results/*/test_predictions.csv,,redraw_or_copy_into_figures_paper,False
paper_assets/svg/figures_fig_auth_matrix.svg,.svg,78.1,2026-05-05T07:56Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,results/fiber_auth/auth_matrix.json; results/*/test_predictions.csv,,redraw_or_copy_into_figures_paper,False
paper_assets/svg/figures_fig_auth_scores.svg,.svg,55.6,2026-05-05T07:56Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,results/fiber_auth/auth_matrix.json; results/*/test_predictions.csv,,redraw_or_copy_into_figures_paper,False
paper_assets/svg/figures_fig_ncc_hd.svg,.svg,105.4,2026-05-05T08:05Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
paper_assets/svg/figures_fig_same_fiber_per_domain.svg,.svg,39.4,2026-05-05T07:56Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
paper_assets/svg/figures_fig_speckle_examples.svg,.svg,6324.9,2026-05-05T07:56Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
paper_assets/svg/figures_fig_test_accuracy_summary.svg,.svg,33.0,2026-05-05T07:59Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,results/fiber_auth/auth_matrix.json; results/*/test_predictions.csv,,redraw_or_copy_into_figures_paper,False
paper_assets/svg/figures_fig_training_curves.svg,.svg,43.6,2026-05-05T07:59Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
