fpr,tpr
0.4462109167991521,0.0
0.4472708002119767,0.0
0.4546899841017488,0.0
0.4562798092209857,0.0
0.4615792262851086,0.0
0.4626391096979332,0.0
0.4647588765235824,0.0
0.46687864334923157,0.0
0.46846846846846846,0.0
0.47058823529411764,0.0
0.4732379438261791,0.0
0.4742978272390037,0.0
0.4764175940646529,0.0
0.4774774774774775,0.0
0.4790673025967144,0.0
0.48012718600953896,0.0
0.48065712771595126,0.0
0.48065712771595126,0.08333333333333333
0.4854266030736619,0.08333333333333333
0.4864864864864865,0.08333333333333333
0.48913619501854794,0.08333333333333333
0.48913619501854794,0.16666666666666666
0.492845786963434,0.16666666666666666
0.4939056703762586,0.16666666666666666
0.4949655537890832,0.16666666666666666
0.4960254372019078,0.16666666666666666
0.49973502914679385,0.16666666666666666
0.5007949125596184,0.16666666666666666
0.5098039215686274,0.16666666666666666
0.510863804981452,0.16666666666666666
0.5145733969263381,0.16666666666666666
0.5156332803391627,0.16666666666666666
0.5166931637519873,0.16666666666666666
0.5177530471648119,0.16666666666666666
0.5188129305776364,0.16666666666666666
0.519872813990461,0.16666666666666666
0.5235824059353471,0.16666666666666666
0.525172231054584,0.16666666666666666
0.5283518812930578,0.16666666666666666
0.5283518812930578,0.25
0.5294117647058824,0.25
0.5294117647058824,0.3333333333333333
0.530471648118707,0.3333333333333333
0.5315315315315315,0.3333333333333333
0.5363010068892422,0.3333333333333333
0.5363010068892422,0.4166666666666667
0.5368309485956545,0.4166666666666667
0.5384207737148914,0.4166666666666667
0.5384207737148914,0.5
0.5447800741918389,0.5
0.5458399576046635,0.5
0.5479597244303127,0.5
0.5479597244303127,0.5833333333333334
0.5548489666136724,0.5833333333333334
0.5548489666136724,0.6666666666666666
0.555908850026497,0.6666666666666666
0.5569687334393216,0.6666666666666666
0.5585585585585585,0.6666666666666666
0.5596184419713831,0.6666666666666666
0.5606783253842077,0.6666666666666666
0.5627980922098569,0.6666666666666666
0.5670376258611552,0.6666666666666666
0.5680975092739798,0.6666666666666666
0.5691573926868044,0.6666666666666666
0.570217276099629,0.6666666666666666
0.5808161102278749,0.6666666666666666
0.5818759936406995,0.6666666666666666
0.584525702172761,0.6666666666666666
0.5861155272919979,0.6666666666666666
0.5866454689984102,0.6666666666666666
0.5882352941176471,0.6666666666666666
0.59353471118177,0.6666666666666666
0.5945945945945946,0.6666666666666666
0.5951245363010069,0.6666666666666666
0.5961844197138315,0.6666666666666666
0.5972443031266561,0.6666666666666666
0.5983041865394807,0.6666666666666666
0.6030736618971914,0.6666666666666666
0.604133545310016,0.6666666666666666
0.6057233704292527,0.6666666666666666
0.6078431372549019,0.6666666666666666
0.6089030206677265,0.6666666666666666
0.6089030206677265,0.75
0.6104928457869634,0.75
0.611552729199788,0.75
0.6120826709062003,0.75
0.6131425543190249,0.75
0.6147323794382618,0.75
0.6157922628510863,0.75
0.6173820879703232,0.75
0.6184419713831478,0.75
0.6189719130895601,0.75
0.620561738208797,0.75
0.629570747217806,0.75
0.6306306306306306,0.75
0.6354001059883413,0.75
0.6354001059883413,0.8333333333333334
0.6364599894011659,0.8333333333333334
0.6375198728139905,0.8333333333333334
0.6385797562268151,0.8333333333333334
0.643879173290938,0.8333333333333334
0.6449390567037626,0.8333333333333334
0.6470588235294118,0.8333333333333334
0.6481187069422364,0.8333333333333334
0.6497085320614733,0.8333333333333334
0.6512983571807102,0.8333333333333334
0.6534181240063593,0.8333333333333334
0.6560678325384208,0.8333333333333334
0.6571277159512454,0.8333333333333334
0.6592474827768945,0.8333333333333334
0.6603073661897191,0.8333333333333334
0.6687864334923158,0.8333333333333334
0.6698463169051404,0.8333333333333334
0.6730259671436142,0.8333333333333334
0.6740858505564388,0.8333333333333334
0.6756756756756757,0.8333333333333334
0.6767355590885002,0.8333333333333334
0.679915209326974,0.8333333333333334
0.6809750927397986,0.8333333333333334
0.6921038685744568,0.8333333333333334
0.6931637519872814,0.8333333333333334
0.694223635400106,0.8333333333333334
0.6963434022257552,0.8333333333333334
0.6984631690514044,0.8333333333333334
0.699523052464229,0.8333333333333334
0.7042925278219396,0.8333333333333334
0.7053524112347642,0.8333333333333334
0.708532061473238,0.8333333333333334
0.7095919448860626,0.8333333333333334
0.7106518282988871,0.8333333333333334
