record_type,fiber,enrolled_fiber,test_fiber,test_accuracy_pct,accuracy_pct,cell_type,metric,value
auth_matrix_cell,,Fiber14,Fiber14,,98.44,diagonal,,
auth_matrix_cell,,Fiber14,Fiber15,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber15,Fiber1,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber15,Fiber2,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber15,Fiber3,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber15,Fiber4,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber15,Fiber5,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber15,Fiber6,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber15,Fiber7,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber15,Fiber8,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber15,Fiber9,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber15,Fiber10,,18.75,off_diagonal,,
auth_matrix_cell,,Fiber15,Fiber11,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber15,Fiber12,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber15,Fiber13,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber15,Fiber14,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber15,Fiber15,,98.44,diagonal,,
aggregate,,,,,,,diagonal_mean_pct,98.02333333333335
aggregate,,,,,,,diagonal_std_pct,1.9309260875433736
aggregate,,,,,,,diagonal_median_pct,98.44
aggregate,,,,,,,off_diagonal_mean_pct,12.693190476190477
aggregate,,,,,,,off_diagonal_std_pct,4.0808194569117235
aggregate,,,,,,,off_diagonal_median_pct,12.5
aggregate,,,,,,,random_baseline_pct,12.5
aggregate,,,,,,,n_fibers,15
aggregate,,,,,,,n_classes,8
